GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jokeFetcher,testex,DateFormatter,40,28,2,2,6,7,2,3,1,2
jokeFetcher,testex,JokeException,0,4,0,0,0,2,0,1,0,1
jokeFetcher,testex,JokeFetcher,39,103,0,8,8,19,3,7,3,3
jokeFetcher,testex,Joke,17,15,0,0,1,6,1,3,1,3
jokeFetcher,testex,Jokes,0,24,0,0,0,8,0,5,0,5
jokeFetcher,testex.jokefetching,ChuckNorris,24,0,0,0,5,0,2,0,2,0
jokeFetcher,testex.jokefetching,Tambal,24,0,0,0,5,0,2,0,2,0
jokeFetcher,testex.jokefetching,EduJoke,36,0,0,0,7,0,2,0,2,0
jokeFetcher,testex.jokefetching,FetcherFactory,116,0,20,0,16,0,16,0,3,0
jokeFetcher,testex.jokefetching,Moma,24,0,0,0,5,0,2,0,2,0
